geolocation_zip_code_prefix,geolocation_lat,geolocation_lng,geolocation_city,geolocation_state
1001,-23.550497706907514,-46.63433817805407,sao paulo,SP
1002,-23.548551065785627,-46.63507239078997,sao paulo,SP
1003,-23.54904445268046,-46.63518261226844,sao paulo,SP
1004,-23.549534948092827,-46.63430666833054,sao paulo,SP
1005,-23.548758390789974,-46.6384109454671,sao paulo,SP
1006,-23.55052430835593,-46.63669363835193,sao paulo,SP
1007,-23.550096635581966,-46.637934794477474,sao paulo,SP
1008,-23.5452611626464,-46.63554571412088,sao paulo,SP
1009,-23.54693540437998,-46.63658792659698,sao paulo,SP
1010,-23.545361513938836,-46.6346895341229,sao paulo,SP
1011,-23.546690486964888,-46.635446958807194,são paulo,SP
1012,-23.54711929087078,-46.63488111172018,sao paulo,SP
1013,-23.547686322234377,-46.6341397692307,são paulo,SP
1014,-23.54533828642738,-46.63358224756194,sao paulo,SP
1015,-23.54956898779498,-46.62908488080666,sao paulo,SP
1016,-23.548495128772636,-46.633490627676125,sao paulo,SP
1017,-23.54981334999131,-46.63035027254893,sao paulo,SP
1018,-23.550218647763327,-46.631879999999995,sao paulo,SP
1019,-23.552151883432384,-46.63080224715792,sao paulo,SP
1020,-23.552533361648077,-46.62960898251487,sao paulo,SP
1021,-23.544184662502165,-46.63264375243805,sao paulo,SP
1022,-23.544497629753593,-46.631461751457095,sao paulo,SP
1023,-23.541081532632955,-46.63084531784219,sao paulo,SP
1024,-23.541389521053937,-46.629899087812184,são paulo,SP
1025,-23.540410813203355,-46.631264935195325,sao paulo,SP
1026,-23.53984025062037,-46.6302639919499,sao paulo,SP
1027,-23.538015199549932,-46.631947411045076,são paulo,SP
1028,-23.536027749379617,-46.632878533585306,sao paulo,SP
1029,-23.543769055769133,-46.63427784085132,sao paulo,SP
1030,-23.53652807216227,-46.633023105459124,sao paulo,SP
1031,-23.542520789115148,-46.63533516134283,sao paulo,SP
1032,-23.5398418758395,-46.63514797691531,são paulo,SP
1033,-23.540159399936574,-46.63548454731953,sao paulo,SP
1034,-23.542995562878023,-46.63757566934563,sao paulo,SP
1035,-23.540983825979165,-46.64256855760085,sao paulo,SP
1036,-23.542828083530566,-46.63939930668248,sao paulo,SP
1037,-23.545187340816042,-46.63785524104107,são paulo,SP
1038,-23.544340113797652,-46.640552186508195,sao paulo,SP
1039,-23.5417538351319,-46.63976074078128,sao paulo,SP
1040,-23.540111706359262,-46.63701681043339,sao paulo,SP
1041,-23.54349553981771,-46.640523678313876,sao paulo,SP
1042,-23.54472059810152,-46.640515568959614,sao paulo,SP
1043,-23.546844062727214,-46.640628455594644,são paulo,SP
1044,-23.544475407986656,-46.64244051581169,sao paulo,SP
1045,-23.541593762969626,-46.64189378810082,sao paulo,SP
1046,-23.546081127035535,-46.64482029837157,sao paulo,SP
1047,-23.546273112412678,-46.64122516971552,sao paulo,SP
1048,-23.547052131282804,-46.639477959749584,sao paulo,SP
1049,-23.54530659310986,-46.636994571065735,sao paulo,SP
1050,-23.54985418067981,-46.643139396906825,sao paulo,SP
1101,-23.533718588348005,-46.633278362782676,sao paulo,SP
1102,-23.52261021648681,-46.62942387523806,são paulo,SP
1103,-23.535453394396647,-46.63170629156326,sao paulo,SP
1104,-23.53461921233187,-46.63220615820298,sao paulo,SP
1105,-23.53315601862409,-46.62957259920161,sao paulo,SP
1106,-23.531062064948905,-46.629505278925556,sao paulo,SP
1107,-23.522004902014046,-46.63397365860703,sao paulo,SP
1108,-23.52375957536492,-46.6324154521322,sao paulo,SP
1109,-23.5237457463212,-46.628731691240034,sao paulo,SP
1120,-23.53210825506378,-46.63839470107914,sao paulo,SP
1121,-23.524609348866132,-46.63615610560334,sao paulo,SP
1122,-23.531790436580295,-46.63507276311384,sao paulo,SP
1123,-23.530410261728868,-46.63776572799934,sao paulo,SP
1124,-23.527367392723217,-46.631883489035715,sao paulo,SP
1125,-23.529050497085805,-46.63889432139766,sao paulo,SP
1126,-23.52549525644876,-46.63738116333888,sao paulo,SP
1127,-23.525702234808666,-46.6394492035893,sao paulo,SP
1128,-23.522849151537905,-46.64019712155927,são paulo,SP
1129,-23.524372634196986,-46.64743213627446,são paulo,SP
1130,-23.52757228642737,-46.64324600499166,sao paulo,SP
1131,-23.52164183207347,-46.64747554830047,sao paulo,SP
1132,-23.520905455450425,-46.64840659893825,são paulo,SP
1133,-23.522591105747573,-46.651049014715184,sao paulo,SP
1134,-23.51867680707737,-46.6531159131789,são paulo,SP
1135,-23.526908245080445,-46.65089423910785,sao paulo,SP
1136,-23.52299425036058,-46.66362145420966,sao paulo,SP
1137,-23.523144766840574,-46.65166009603059,sao paulo,SP
1138,-23.52503669608748,-46.65541993450284,sao paulo,SP
1139,-23.52183510257342,-46.66428988130433,sao paulo,SP
1140,-23.52564861281671,-46.66180787607479,são paulo,SP
1141,-23.51929169969415,-46.66571964308378,sao paulo,SP
1142,-23.519934305152642,-46.6251300217966,sao paulo,SP
1144,-23.523846601708204,-46.67362071135091,sao paulo,SP
1150,-23.533850113297035,-46.655805182270626,sao paulo,SP
1151,-23.531294001384985,-46.656404093946584,sao paulo,SP
1152,-23.52916893282939,-46.65214846073055,sao paulo,SP
1153,-23.528107581741555,-46.65394803649948,são paulo,SP
1154,-23.531480434358603,-46.65843765834724,sao paulo,SP
1155,-23.529835634745247,-46.6629850217843,sao paulo,SP
1156,-23.526950618068167,-46.66982314695028,são paulo,SP
1189,-23.53210825506378,-46.63839470107914,sao paulo,SP
1200,-23.531567773241413,-46.64986907784642,sao paulo,SP
1201,-23.538762000548264,-46.64533076282538,sao paulo,SP
1202,-23.530757909515867,-46.6504908322177,sao paulo,SP
1203,-23.537119379681474,-46.64438743865777,sao paulo,SP
1204,-23.53212525950718,-46.64698684554789,são paulo,SP
