order_id,customer_unique_id,customer_id,delivered_in_days,time_of_purchase,month_of_purchase,delivery_speed_flag,delivery_distance_in_km,installment_value,high_installment_flag,used_voucher,is_repeat_buyer,num_orders,total_purchase_value,review_score
d1ee985bf7378b46fd1058b35c8132da,e20efa8fdaf5bbd3780b29d52eb6172e,7bd970d498ab2a1515d5d0095bb7cbc1,13.0,2,8,2,973.07,119.19,0,0,0,1,96.58,5
b6446a611bb9c288f42fc87611d4d2b9,718f23593f78864a66285a48bd8318ec,c029dfbb73a59f46affafca213c29747,18.0,22,3,3,,64.01,1,0,0,1,95.8,4
b6446a611bb9c288f42fc87611d4d2b9,718f23593f78864a66285a48bd8318ec,c029dfbb73a59f46affafca213c29747,18.0,22,3,3,,64.01,1,0,0,1,95.8,4
0cb32545f515420d9f3cba2c55ae3c4f,5d8f99c602be552d9707f3bd77c24d36,4964b245573f51603b9782d3a365caf6,15.0,12,11,3,,144.9,0,0,0,1,255.0,3
0cb32545f515420d9f3cba2c55ae3c4f,5d8f99c602be552d9707f3bd77c24d36,4964b245573f51603b9782d3a365caf6,15.0,12,11,3,,144.9,0,0,0,1,255.0,3
cdeb08f89f720090a01797f553cc8fcc,37582cc8ad0aa747bda8097d37580545,1d0da8bb4dd97014f97ee0e96df2be75,10.0,6,7,1,2095.25,17.53,1,0,0,1,149.9,1
9570e7230d3d4ecaacbc7843e6646b33,18f22ea849f56a8767b93cf03343ecf2,19cd19a792b8ba4bc826a9a3874159dc,70.0,2,6,3,307.56,24.22,1,0,0,1,59.9,5
a36c2d374f8bda87f5ba07fe1bde98e0,9a1e55d72c528fcc8baff2302e95a5b1,dc8fc92aa4abdc1cd1d7a9a78cb9a965,12.0,0,2,2,1610.2,147.8,0,0,0,1,126.12,5
ff29c7cdeea12d00d7b40d4879cce688,3262d7de6a6e0c5bc3fe3834fe4bc007,c72f502117a154e3f6468a282c6e2d95,15.0,5,4,3,724.93,154.53,0,0,0,1,281.0,4
0e0fa429a12bc8105554270a3a52ce97,39233d7a20a6765ef89a9559862da0dc,c7f4ae2ceae1c61d7498868443fc755f,8.0,20,7,1,,85.58,0,1,0,1,69.99,5
4b2a739ca7263b2f66f54ebd17cf7337,ff74295e5fe614853795922d79327659,238d29fa96922070278f9ca31e53b4ea,27.0,2,5,3,929.09,73.27,0,0,0,1,49.99,3
a9a93c428c6103f2151bb63a1d32a520,ef026b181b8edf96c9ba24e7a989f7b4,99ed295fa7b1f749594ce5f709ef1073,16.0,1,1,3,834.55,16.07,1,0,0,1,99.9,1
829f21ada22c20b2a15c75f8b63a0533,2080580f5f3893b30be049dc42c4bee3,f04d1503094bbd1db2565841d59a2945,2.0,8,6,1,100.85,29.57,1,0,0,1,238.9,5
829f21ada22c20b2a15c75f8b63a0533,2080580f5f3893b30be049dc42c4bee3,f04d1503094bbd1db2565841d59a2945,2.0,8,6,1,,29.57,1,0,0,1,238.9,5
