order_id,payment_type,payment_sequential,payment_value,payment_installments,installment_value,installment_value_capped,high_installment_flag,used_voucher
1491a4777b694dc4c2e8916fd9a99b1e,credit_card,1,111.88,10,11.19,11.19,1,0
e9bfa573b732937bcce0dfee81481cdb,credit_card,1,130.59,2,65.3,65.3,1,0
50f345c9d209339fc91c1e9304a94bf5,credit_card,1,33.77,1,33.77,33.77,1,0
9edafa4c6dbc4a9dd05637c84bf96605,credit_card,1,288.29,2,144.15,144.15,0,0
df413df02c32f319cb51828513261aff,credit_card,1,183.18,10,18.32,18.32,1,0
035c06c36cc8685238297b6af0c280f3,boleto,1,51.05,1,51.05,51.05,1,0
5666bf609bc91e7aabf0e60183bc05f0,boleto,1,29.55,1,29.55,29.55,1,0
0d41469b51221ce43524f07c73a94878,credit_card,1,102.09,2,51.05,51.05,1,0
2b4fba1ac5c3564ba60d37e66fa5e62e,credit_card,1,42.59,1,42.59,42.59,1,0
101239b587ffbf256b1cf48485854842,credit_card,1,67.05,1,67.05,67.05,0,0
9fa7644baa5eef65cf160c3c71983e6f,credit_card,1,213.37,10,21.34,21.34,1,0
f098ba607d20654e7e6edc6be7c742d5,boleto,1,65.05,1,65.05,65.05,1,0
5a662d59a825199b9144985d95896f7d,credit_card,1,139.52,3,46.51,46.51,1,0
fee5a1127dde04aca98c3dd84e96d471,credit_card,1,277.08,5,55.42,55.42,1,0
8f50ea351cdf971144474e5a4aef9dd4,credit_card,1,38.01,3,12.67,12.67,1,0
49ed8238ac156a01d16ef8b89bc7f6be,credit_card,1,87.64,4,21.91,21.91,1,0
1094e838b998a10c8faf3bc0b77906df,credit_card,1,83.74,3,27.91,27.91,1,0
25e08e5a23ab24f86595aadbe50bc739,credit_card,1,112.92,5,22.58,22.58,1,0
b8a3faed0f5c557b7d0e55a9040c684f,boleto,1,110.18,1,110.18,110.18,0,0
b7dc42271c71663ceed71350d60a5559,credit_card,1,65.74,3,21.91,21.91,1,0
22c2b8497506479028918303045751dd,voucher,1,21.45,1,21.45,21.45,1,1
15ef84e2fdba1fb2783ed97832b66820,credit_card,1,82.02,8,10.25,10.25,1,0
5e9f1a71f53f74f8c4e829ffbb4b52e9,credit_card,1,205.95,2,102.98,102.98,0,0
a1b0796198555011b19eb375a001b2c4,boleto,1,74.49,1,74.49,74.49,0,0
c28ccf873b952bc98490e627a34c60f0,credit_card,1,136.52,8,17.07,17.07,1,0
0044c6f6d22dd280534344177c81b989,credit_card,1,196.07,1,196.07,178.25,0,0
c4e545bf33690bbfab5d78ae49c00564,boleto,1,53.13,1,53.13,53.13,1,0
ea758df7f35b0c9481727b5430b21f85,credit_card,1,117.24,3,39.08,39.08,1,0
38d53048cadc43042f82188a761f6765,credit_card,1,142.26,1,142.26,142.26,0,0
45447cb1eb40858d9ca660548af0100d,credit_card,1,95.22,9,10.58,10.58,1,0
7aac44d0de12f13cf2a5f9235a5a9e37,credit_card,1,129.66,1,129.66,129.66,0,0
2fcae632b06e40088d1800fc1cfc3e69,voucher,2,2.72,1,2.72,2.72,1,1
20b919e05f847a4e3adcb4352ee309b8,credit_card,1,94.14,4,23.54,23.54,1,0
cfc130b608476dd1cc71396ebc483e1b,credit_card,1,178.49,2,89.25,89.25,0,0
e5b92893da73abb227f25730ffa69680,credit_card,1,76.08,4,19.02,19.02,1,0
d35d04877fd2f044b404b6e80567532b,credit_card,1,180.05,2,90.03,90.03,0,0
d9a40d6454b584402c918212558f2af1,boleto,1,191.41,1,191.41,178.25,0,0
f0c1fadfe3832d32c7a44b37530c9e2c,boleto,1,253.23,1,253.23,178.25,0,0
895ab968e7bb0d5659d16cd74cd1650c,voucher,10,16.7,1,16.7,16.7,1,1
3eb18430be4502566fc9ac46bdce44b1,boleto,1,227.16,1,227.16,178.25,0,0
42a356367b6ad82cb9655b48a378579e,credit_card,1,32.43,1,32.43,32.43,1,0
5f8af87da2123c6841b3941b3b5f478e,credit_card,1,143.5,9,15.94,15.94,1,0
75bd7a3255b9a2efed8a2673eb31f2b3,credit_card,1,90.6,8,11.33,11.33,1,0
9855472e23a51c2e8b310d215c717511,credit_card,1,56.85,1,56.85,56.85,1,0
bb82809ea3ca9f3edbe589b60e14e0cb,credit_card,1,456.77,3,152.26,152.26,1,0
4ed4fa202c468c14366fbf603c8698fd,credit_card,1,72.18,3,24.06,24.06,1,0
739409a92249367522a31eb8ee6161b8,boleto,1,223.78,1,223.78,178.25,0,0
a1fa82769a203e30b8faf81cd32e5193,voucher,2,83.59,1,83.59,83.59,0,1
2f1a1f6835e7ea0d360901c632fc0cbf,boleto,1,69.12,1,69.12,69.12,0,0
e664de6693c1c46a03c7a561518546a6,credit_card,1,50.58,2,25.29,25.29,1,0
722d538cc82ebbe96084de19ed6f7fad,credit_card,1,44.78,4,11.2,11.2,1,0
22b7dd604ff5725df72b4245777f87f7,boleto,1,113.76,1,113.76,113.76,0,0
ec328869ec9d309e95ca9e78b1e81b4b,credit_card,1,33.19,3,11.06,11.06,1,0
1ef6133727cdcc029e9dbcb68ad5d57f,boleto,1,242.14,1,242.14,178.25,0,0
782280edec0182ee4b1e2cff514fc712,credit_card,1,127.04,3,42.35,42.35,1,0
a04084799bcf2107344626146b5f70fe,boleto,1,33.32,1,33.32,33.32,1,0
c754541252a5c08d9e786d85469ebcb7,credit_card,1,39.84,3,13.28,13.28,1,0
