installment_value,high_installment_flag,used_voucher,delivered_in_days,delivery_speed_flag,delivery_distance_in_km,is_repeat_buyer
85.16,0,0,7.0,1,541.93,0
203.23,0,0,8.0,1,,0
53.56,1,0,8.0,1,127.33,0
53.56,1,0,8.0,1,127.33,0
26.71,1,0,4.0,1,,0
62.01,1,0,10.0,1,127.82,0
22.51,1,0,2.0,1,23.33,0
17.44,1,0,9.0,1,,0
17.44,1,0,9.0,1,,0
12.98,1,0,9.0,1,,0
137.6,0,0,18.0,3,,0
58.37,1,0,5.0,1,140.0,0
10.23,1,0,3.0,1,,1
50.0,1,1,3.0,1,,1
11.01,1,0,7.0,1,79.3,1
236.92,0,0,16.0,3,462.42,0
98.26,0,0,14.0,3,287.93,0
88.9,0,0,2.0,1,,0
152.35,0,0,9.0,1,1526.42,0
64.82,1,0,15.0,3,,0
49.54,1,0,8.0,1,390.54,0
12.26,1,0,9.0,1,,0
86.52,0,0,5.0,1,137.46,0
33.09,1,0,8.0,1,,0
128.17,0,0,6.0,1,,0
12.16,1,0,7.0,1,455.75,0
39.48,1,0,2.0,1,,0
39.48,1,0,2.0,1,,0
61.52,1,0,30.0,3,,0
94.76,0,0,12.0,2,2128.89,0
40.17,1,0,3.0,1,383.43,0
70.28,0,0,14.0,3,,0
11.0,1,0,11.0,1,343.58,0
11.67,1,0,12.0,2,548.02,0
382.92,0,0,8.0,1,1089.89,0
382.92,0,0,8.0,1,1089.89,0
10.87,1,0,20.0,3,1917.81,0
72.86,0,0,7.0,1,,1
48.1,1,0,10.0,1,2473.67,0
10.33,1,0,10.0,1,634.33,0
17.05,1,0,6.0,1,,0
284.89,0,0,9.0,1,158.22,0
101.73,0,0,3.0,1,,0
42.78,1,0,4.0,1,,0
126.42,0,0,31.0,3,659.23,0
19.48,1,1,7.0,1,370.84,0
5.27,1,0,7.0,1,370.84,0
34.25,1,0,15.0,3,998.19,0
27.91,1,0,34.0,3,675.1,0
864.69,0,0,19.0,3,,0
59.13,1,0,30.0,3,184.61,0
32.45,1,0,2.0,1,98.23,0
142.24,0,0,12.0,2,387.61,0
10.07,1,0,8.0,1,89.01,0
153.1,0,0,12.0,2,614.55,0
41.1,1,0,11.0,1,993.15,0
36.92,1,0,40.0,3,610.51,0
36.92,1,0,40.0,3,610.51,0
43.28,1,0,5.0,1,,0
185.25,0,0,48.0,3,112.63,0
70.07,1,0,13.0,2,420.67,0
82.41,0,0,3.0,1,540.28,0
82.41,0,0,3.0,1,540.28,0
82.41,0,0,3.0,1,540.28,0
34.04,1,0,10.0,1,867.61,0
10.49,1,0,32.0,3,564.92,1
24.67,1,1,32.0,3,564.92,1
37.77,1,0,2.0,1,,1
175.0,0,0,44.0,3,1061.34,0
27.77,1,0,22.0,3,,0
10.66,1,0,9.0,1,752.11,0
37.3,1,1,9.0,1,927.61,0
58.08,1,1,9.0,1,927.61,0
19.99,1,1,9.0,1,927.61,0
56.26,1,0,18.0,3,570.57,0
56.26,1,0,18.0,3,570.57,0
56.26,1,0,18.0,3,570.57,0
56.26,1,0,18.0,3,570.57,0
56.26,1,0,18.0,3,570.57,0
64.76,1,0,19.0,3,330.95,0
64.76,1,0,19.0,3,330.95,0
165.48,0,0,13.0,2,1389.86,0
57.43,1,0,7.0,1,49.41,0
53.9,1,0,36.0,3,1452.72,0
30.85,1,0,9.0,1,350.8,1
67.83,0,0,10.0,1,,0
47.65,1,0,6.0,1,,0
61.01,1,0,8.0,1,247.71,1
10.5,1,0,19.0,3,922.5,0
55.89,1,0,5.0,1,155.28,0
33.78,1,0,26.0,3,1218.52,0
36.79,1,0,7.0,1,333.2,0
210.99,0,0,9.0,1,374.14,0
61.91,1,0,7.0,1,281.66,0
61.91,1,0,7.0,1,629.96,0
61.91,1,0,7.0,1,,0
76.02,0,0,7.0,1,341.92,0
25.6,1,0,4.0,1,60.99,0
25.6,1,0,4.0,1,60.99,0
60.0,1,0,10.0,1,598.7,0
136.64,0,0,9.0,1,37.8,0
136.64,0,0,9.0,1,37.8,0
63.37,1,0,15.0,3,,0
96.38,0,0,9.0,1,426.68,0
50.1,1,0,29.0,3,592.46,0
124.83,0,1,13.0,2,310.0,0
1.61,1,0,13.0,2,310.0,0
75.83,0,0,16.0,3,,0
41.75,1,0,17.0,3,2898.15,0
12.59,1,0,10.0,1,30.84,0
168.23,0,0,14.0,3,437.65,0
43.09,1,0,20.0,3,,0
29.82,1,0,11.0,1,382.88,0
149.87,0,0,36.0,3,1191.81,0
39.28,1,0,27.0,3,492.98,0
29.41,1,0,5.0,1,820.94,0
29.41,1,0,5.0,1,820.94,0
10.43,1,0,6.0,1,,0
17.41,1,0,2.0,1,51.97,0
19.02,1,0,10.0,1,300.89,0
32.5,1,0,12.0,2,838.77,0
153.41,0,0,8.0,1,1888.57,0
23.85,1,0,6.0,1,,0
10.12,1,0,18.0,3,,0
26.65,1,0,13.0,2,,0
28.72,1,0,13.0,2,889.12,0
57.53,1,0,26.0,3,,0
43.78,1,0,8.0,1,,0
49.12,1,0,9.0,1,583.61,0
59.84,1,1,42.0,3,,0
56.34,1,0,42.0,3,,0
64.03,1,0,5.0,1,421.57,0
10.76,1,0,31.0,3,798.22,0
21.75,1,0,8.0,1,,0
76.2,0,0,17.0,3,,0
95.23,1,0,16.0,3,1337.98,0
217.59,0,0,15.0,3,2095.89,0
87.75,0,0,2.0,1,23.8,0
112.14,0,0,10.0,1,53.32,0
22.93,1,0,10.0,1,,0
172.06,1,0,6.0,1,,0
27.47,1,0,3.0,1,297.86,0
27.47,1,0,3.0,1,297.86,0
60.8,1,0,7.0,1,470.45,0
11.32,1,0,16.0,3,,0
123.18,0,0,34.0,3,803.99,0
112.22,1,0,13.0,2,,0
19.27,1,0,88.0,3,428.96,1
28.95,1,0,8.0,1,938.54,0
24.73,1,0,7.0,1,628.8,1
13.1,1,0,24.0,3,,0
18.69,1,0,7.0,1,,0
18.69,1,0,7.0,1,,0
69.31,0,0,7.0,1,,1
57.78,1,0,9.0,1,,0
56.25,1,0,8.0,1,353.25,0
117.04,0,0,19.0,3,831.62,0
117.04,0,0,19.0,3,831.62,0
53.01,1,0,26.0,3,,0
132.08,0,0,16.0,3,424.85,0
47.79,1,0,11.0,1,305.15,0
168.2,0,0,14.0,3,147.76,0
52.77,1,0,26.0,3,,0
29.43,1,0,9.0,1,368.98,0
55.93,1,0,24.0,3,,0
19.13,1,0,9.0,1,,0
53.23,1,0,11.0,1,975.06,0
58.65,1,0,11.0,1,364.39,0
70.55,0,0,16.0,3,668.49,0
205.98,0,0,43.0,3,430.52,1
37.1,1,0,54.0,3,485.85,0
32.14,1,0,7.0,1,436.11,1
20.0,1,1,7.0,1,436.11,1
20.0,1,1,7.0,1,436.11,1
25.46,1,0,15.0,3,,0
31.55,1,0,12.0,2,,0
25.51,1,0,7.0,1,313.4,0
29.26,1,0,11.0,1,2060.85,0
100.0,0,1,11.0,1,2060.85,0
52.59,1,0,18.0,3,864.49,0
54.44,1,0,17.0,3,335.07,0
63.1,1,0,13.0,2,,0
96.31,0,0,15.0,3,499.08,0
139.15,0,0,2.0,1,17.9,0
25.19,1,0,12.0,2,774.38,0
28.22,1,0,5.0,1,550.64,0
166.17,0,0,6.0,1,87.0,0
36.79,1,0,30.0,3,1634.3,0
40.14,1,0,52.0,3,2030.04,0
31.22,1,0,8.0,1,,0
66.79,0,0,19.0,3,1126.57,0
